integration_step,coord0,coord1,coord2,coord3,exec_time
84,-4,10,-8,0,14453
84,-4,9,-8,0,15655
84,-4,9,-8,1,18468
84,-4,9,-7,1,18747
84,-4,9,-8,2,23578
84,-3,9,-8,1,25698
84,-3,9,-8,2,35097
85,-4,9,-8,0,16153
85,-4,9,-7,0,16668
85,-4,9,-8,1,20264
85,-4,9,-7,2,20368
85,-4,9,-8,2,23209
85,-3,9,-8,1,30089
85,-3,9,-8,2,36071
85,-2,9,-8,1,53420
86,-4,9,-7,0,14971
86,-4,9,-7,1,18322
86,-4,9,-7,2,19210
86,-4,9,-8,1,20421
86,-4,9,-8,0,20709
86,-4,10,-8,1,21078
86,-4,9,-8,2,22656
86,-3,9,-7,0,23304
87,-4,9,-7,0,15038
87,-4,9,-8,0,16323
87,-4,9,-8,1,18432
87,-4,9,-7,1,20247
87,-4,10,-8,2,21097
87,-4,9,-8,2,22930
87,-3,9,-8,0,28625
87,-3,9,-8,1,28950
88,-4,9,-6,0,13141
88,-4,9,-7,0,14242
88,-4,9,-8,0,15876
88,-4,9,-8,1,18623
88,-4,9,-7,2,18892
88,-4,9,-8,2,21867
88,-3,9,-8,0,22690
88,-3,9,-8,1,28951
89,-4,9,-6,0,13155
89,-4,9,-7,0,14506
89,-4,9,-8,0,16693
89,-4,10,-8,1,19833
89,-4,9,-8,1,20779
89,-4,9,-7,2,21100
89,-4,9,-8,2,21715
89,-3,9,-8,0,23690
90,-4,10,-8,0,15727
90,-4,9,-8,0,17075
90,-4,9,-7,0,18047
90,-4,9,-7,1,18172
90,-4,9,-8,1,20575
90,-4,9,-7,2,20283
90,-4,10,-8,2,21008
90,-4,9,-8,2,22667
91,-4,9,-7,0,15606
91,-4,9,-8,0,16917
91,-4,9,-8,1,21164
91,-4,10,-8,2,21675
91,-3,9,-8,0,25069
91,-4,9,-8,2,25641
91,-3,9,-7,0,26321
91,-3,9,-8,1,30521
92,-4,9,-6,0,13327
92,-4,10,-8,0,15949
92,-4,9,-8,0,17007
92,-4,9,-7,0,16975
92,-4,10,-8,1,18622
92,-4,9,-8,1,20574
92,-4,9,-8,2,22403
92,-3,9,-8,2,34773
93,-4,9,-6,0,13526
93,-4,9,-7,0,15635
93,-4,9,-8,0,18117
93,-4,9,-7,2,18917
93,-4,9,-8,1,19863
93,-4,10,-8,1,21250
93,-4,9,-8,2,22022
93,-4,10,-8,2,24225
94,-4,9,-8,0,16970
94,-4,9,-7,0,16645
94,-4,10,-8,0,17845
94,-4,9,-7,1,19021
94,-4,9,-8,1,20958
94,-4,10,-8,2,21536
94,-4,9,-8,2,22366
94,-3,9,-8,1,31217
95,-4,10,-7,0,15274
95,-4,9,-7,0,16510
95,-4,9,-8,0,17155
95,-4,9,-7,1,20965
95,-4,9,-8,2,22023
95,-4,9,-8,1,23148
95,-3,9,-7,0,24993
95,-3,9,-8,0,25106
96,-4,9,-7,0,15305
96,-4,10,-7,0,15893
96,-4,9,-8,0,17377
96,-4,9,-6,1,17597
96,-4,9,-7,1,17931
96,-4,9,-8,1,19747
96,-4,9,-7,2,22224
96,-3,9,-8,0,25953
97,-4,9,-6,0,15079
97,-4,9,-7,0,16563
97,-4,9,-6,1,17603
97,-4,9,-8,1,18745
97,-4,9,-7,1,18912
97,-4,9,-8,0,19884
97,-3,9,-7,1,29328
97,-3,9,-8,1,29782
98,-4,9,-7,0,15415
98,-4,9,-8,0,17185
98,-4,9,-6,0,16859
98,-4,9,-6,1,17272
98,-4,9,-7,1,19395
98,-4,9,-8,1,20122
98,-4,10,-8,0,20964
98,-4,9,-8,2,22299
99,-4,9,-6,0,14677
99,-4,9,-7,0,15683
99,-4,9,-8,0,19054
99,-4,9,-8,1,21013
99,-4,9,-8,2,24027
99,-4,9,-7,2,25340
99,-3,9,-8,1,29506
99,-3,9,-8,2,39803
100,-4,9,-7,0,15298
100,-4,9,-8,0,16956
100,-4,10,-7,0,16507
100,-4,9,-8,1,21433
100,-4,9,-7,2,22542
100,-4,9,-8,2,23667
100,-3,9,-8,0,29122
100,-3,9,-8,2,42240
101,-4,9,-7,0,15844
101,-4,9,-8,0,18043
101,-4,9,-7,1,19560
101,-4,9,-8,1,21225
101,-4,9,-7,2,22012
101,-4,9,-8,2,24098
101,-4,10,-8,2,24689
101,-3,9,-8,2,45487
102,-4,9,-7,0,15887
102,-4,9,-8,0,17916
102,-4,9,-7,1,20117
102,-4,9,-7,2,22040
102,-4,9,-8,1,22704
102,-4,9,-8,2,23843
102,-3,9,-8,0,27756
102,-3,9,-8,2,42929
103,-4,9,-8,0,17771
103,-4,10,-8,0,17328
103,-4,9,-7,0,20266
103,-4,9,-7,1,21146
103,-4,9,-7,2,22021
103,-4,9,-8,2,24767
103,-3,9,-7,2,39466
103,-3,9,-8,2,40599
104,-4,9,-6,0,14844
104,-4,9,-7,0,15788
104,-4,9,-8,0,18726
104,-4,9,-7,2,22359
104,-4,10,-8,2,23774
104,-4,9,-8,2,24951
104,-3,9,-7,0,26593
104,-3,9,-8,0,28867
105,-4,9,-8,0,19188
105,-4,9,-7,0,19616
105,-4,9,-8,1,21967
105,-4,9,-7,2,25084
105,-4,10,-8,2,25283
105,-4,10,-7,2,25250
105,-4,9,-8,2,26206
105,-3,9,-7,0,30520
106,-4,9,-7,0,19686
106,-4,9,-8,0,20834
106,-4,9,-7,1,21683
106,-4,9,-8,1,23509
106,-4,9,-7,2,24427
106,-4,9,-8,2,25868
106,-3,9,-8,0,28635
106,-3,9,-8,1,38248
107,-4,9,-6,0,15830
107,-4,9,-7,0,18128
107,-4,9,-8,0,19996
107,-4,9,-8,1,20790
107,-4,9,-7,1,23245
107,-4,9,-7,2,23473
107,-3,9,-8,0,28670
107,-3,9,-7,1,33725
108,-4,9,-6,0,15833
108,-4,9,-7,0,17254
108,-4,10,-8,0,18790
108,-4,9,-8,0,19363
108,-4,10,-8,1,21223
108,-4,9,-8,1,22803
108,-4,9,-7,2,23066
108,-4,10,-7,2,24536
109,-4,9,-7,0,18072
109,-4,9,-7,1,19615
109,-4,9,-8,0,19932
109,-4,10,-8,0,21105
109,-4,9,-8,1,22476
109,-4,9,-7,2,24050
109,-4,10,-7,2,24210
109,-3,9,-7,0,29390
110,-4,9,-7,0,18646
110,-4,9,-8,0,19545
110,-4,9,-7,1,21817
110,-4,10,-7,0,22776
110,-4,10,-8,1,23244
110,-4,9,-8,1,25272
110,-4,9,-7,2,24847
110,-4,9,-8,2,27863
111,-4,9,-8,0,19995
111,-4,9,-8,1,24565
111,-4,9,-7,1,25037
111,-4,9,-7,0,25449
111,-4,9,-8,2,28426
111,-3,9,-7,0,29843
111,-3,9,-8,0,31006
111,-3,9,-8,1,37468
112,-4,9,-8,0,19849
112,-4,9,-7,0,20816
112,-4,9,-8,1,23566
112,-4,9,-7,1,23545
112,-4,9,-8,2,28377
112,-4,10,-8,2,28159
112,-3,9,-8,0,29610
112,-4,9,-7,2,30194
113,-4,9,-6,0,17261
113,-4,9,-7,0,19211
113,-4,9,-8,0,20400
113,-4,9,-8,1,24490
113,-4,9,-7,2,24630
113,-4,9,-7,1,26410
113,-4,9,-8,2,26698
113,-3,9,-8,1,40928
114,-4,9,-6,0,18752
114,-4,9,-7,0,19635
114,-4,9,-8,0,21330
114,-4,9,-8,1,24135
114,-4,9,-7,2,25632
114,-4,10,-8,2,27857
114,-4,9,-8,2,28450
114,-3,9,-8,1,38596
115,-4,9,-7,0,19132
115,-4,9,-8,0,21211
115,-4,9,-8,1,26507
115,-4,10,-8,2,27739
115,-4,9,-8,2,29019
115,-3,9,-8,0,33117
